jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457970.0,15,27,27,27,27,27,15,15,74.1,82.6,63.7,65.7,76.4,77.7
2457971.0,15,27,15,7,15,15,15,15,74.1,82.6,63.9,65.7,76.9,77.6
2457972.0,15,15,15,27,7,3,7,7,73.5,82.6,64.1,65.6,80.6,77.6
2457973.0,3,7,7,7,7,3,0,3,72.7,82.5,64.3,65.6,81.6,77.6
2457974.0,3,3,3,3,3,7,7,3,71.1,82.5,64.6,65.6,81.3,77.5
2457975.0,3,3,7,3,3,3,3,7,71.5,82.6,64.9,65.6,80.2,77.5
2457976.0,3,3,7,7,7,3,0,7,71.0,82.5,65.1,65.6,78.1,77.5
2457977.0,7,7,3,3,3,7,15,7,69.8,82.6,65.3,65.6,76.5,77.5
2457978.0,15,15,7,7,7,3,15,15,70.3,82.6,65.3,65.6,73.6,77.6
2457979.0,7,7,7,7,7,7,7,7,68.2,82.7,65.3,65.6,72.4,77.6
2457980.0,7,3,3,3,7,3,3,7,73.0,82.8,65.3,65.6,68.9,77.7
2457981.0,3,3,3,3,3,0,3,3,74.2,83.0,65.1,65.7,69.9,77.8
2457982.0,7,3,3,7,3,3,3,7,77.3,83.1,64.9,65.8,73.4,77.9
2457983.0,15,7,48,48,48,15,27,27,76.7,83.3,64.7,65.8,73.2,78.2
2457984.0,27,15,7,15,27,15,48,15,80.0,83.3,64.5,65.9,75.9,78.4
2457985.0,48,27,48,27,27,48,15,27,86.8,83.3,64.3,66.0,75.7,78.6
2457986.0,48,48,15,15,7,15,15,15,86.0,83.3,64.1,66.1,77.3,78.8
2457987.0,15,7,15,15,7,3,7,15,87.1,83.2,64.0,66.1,75.2,79.0
2457988.0,80,48,15,7,15,7,7,15,90.2,83.2,63.9,66.2,80.9,79.1
2457989.0,15,27,27,15,48,27,48,15,85.1,83.1,64.0,66.3,81.9,79.2
2457990.0,15,15,15,15,15,7,3,3,78.8,83.0,64.1,66.3,82.0,79.3
2457991.0,3,3,7,7,7,3,3,7,80.8,83.0,64.4,66.3,78.4,79.3
2457992.0,3,3,7,3,3,7,3,3,77.5,83.0,64.7,66.3,75.4,79.4
2457993.0,15,3,3,15,7,15,15,15,78.2,82.9,65.0,66.3,74.1,79.5
2457994.0,3,3,3,3,3,3,0,3,81.6,83.0,65.5,66.3,74.8,79.5
2457995.0,3,7,7,3,3,7,27,15,84.3,83.0,66.2,66.3,78.6,79.5
2457996.0,7,7,7,3,3,0,0,0,86.9,83.0,67.1,66.3,82.5,79.5
2457997.0,7,15,48,48,48,27,27,15,91.9,83.0,68.2,66.3,84.4,79.5
2457998.0,27,15,7,27,27,7,7,27,93.4,83.0,69.7,66.3,82.7,79.4
2457999.0,27,48,48,15,7,15,15,15,100.0,83.0,71.3,66.2,84.4,79.4
2458000.0,15,15,3,7,15,7,7,7,120.2,83.0,73.0,66.2,94.0,79.4
2458001.0,27,15,7,7,7,7,27,48,182.5,83.0,74.6,66.2,101.2,79.4
2458002.0,27,15,15,7,7,15,7,7,120.5,83.0,75.7,66.2,103.0,79.4
2458003.0,7,7,7,15,15,7,0,27,132.9,83.1,76.4,66.2,104.0,79.4
2458004.0,15,27,27,27,15,7,7,240,125.4,83.1,76.3,66.2,102.2,79.4
2458005.0,240,48,27,48,240,140,80,48,116.8,83.1,75.6,66.2,97.8,79.4
2458006.0,15,7,7,3,3,3,3,3,107.2,83.2,74.3,66.2,92.3,79.5
2458007.0,3,0,3,3,3,15,7,27,100.2,83.2,72.6,66.3,86.1,79.6
2458008.0,15,15,7,7,15,7,15,15,79.9,83.3,70.6,66.3,79.3,79.6
2458009.0,15,7,15,7,15,7,27,48,75.5,83.3,68.5,66.4,78.7,79.7
2458010.0,48,15,27,7,7,7,3,0,75.1,83.3,66.4,66.4,77.2,79.8
2458011.0,7,7,3,7,27,80,48,27,74.2,83.4,64.6,66.5,71.6,79.9
2458012.0,80,27,48,15,27,15,48,48,72.8,83.4,63.2,66.5,70.7,80.0
2458013.0,48,80,15,15,27,27,15,27,72.1,83.5,62.2,66.6,72.1,80.1
2458014.0,15,27,7,15,27,27,7,7,72.2,83.5,61.6,66.6,69.8,80.2
2458015.0,27,27,48,27,15,15,7,15,72.2,83.6,61.5,66.6,72.3,80.2
2458016.0,15,7,3,7,7,7,15,15,70.6,83.6,61.7,66.7,71.7,80.3
2458017.0,15,15,7,7,7,3,7,3,73.9,83.7,62.4,66.7,73.5,80.4
2458018.0,3,7,15,7,7,0,3,7,73.0,83.7,63.4,66.7,74.8,80.5
2458019.0,3,3,3,3,3,3,7,7,77.5,83.8,64.6,66.7,75.0,80.6
2458020.0,3,7,3,3,3,3,7,7,81.2,83.8,66.1,66.7,74.3,80.6
2458021.0,3,7,3,3,3,3,7,15,86.9,83.8,67.5,66.7,78.5,80.7
2458022.0,15,7,3,3,0,3,0,3,89.9,83.8,68.9,66.6,84.1,80.7
2458023.0,3,3,7,3,3,0,0,7,90.7,83.7,70.1,66.6,91.9,80.7
2458024.0,15,7,48,27,27,15,80,80,91.0,83.7,71.0,66.5,96.9,80.6
2458025.0,80,140,140,48,27,27,27,48,90.9,83.5,71.6,66.5,94.5,80.5
2458026.0,15,7,15,15,15,7,7,7,89.7,83.3,71.8,66.4,93.4,80.4
2458027.0,7,15,27,7,15,27,7,0,89.4,83.0,71.9,66.3,94.5,80.3
2458028.0,15,7,15,7,7,15,7,15,85.7,82.8,71.7,66.3,95.1,80.2
2458029.0,7,27,7,7,7,3,0,0,86.0,82.5,71.2,66.2,93.9,80.0
2458030.0,15,15,15,7,0,3,3,3,86.4,82.3,70.6,66.1,91.5,79.9
2458031.0,7,15,3,3,3,0,3,7,87.0,82.2,69.8,66.1,87.2,79.7
2458032.0,15,3,3,3,3,3,3,15,86.6,82.2,68.8,66.0,85.3,79.6
2458033.0,15,15,7,7,7,7,3,7,84.1,82.1,67.6,66.0,83.2,79.6
